method,noise_std,mean_reward,success_rate,n_rollouts,seed,best_params
none(best),0.1,0.7400,0.7400,50,0,{}
ema(best),0.1,0.9000,0.9000,50,0,{'alpha': 0.8}
median(best),0.1,0.8000,0.8000,50,0,{'k': 3}
kalman(best),0.1,0.8600,0.8600,50,0,"{'Q': 0.01, 'R': 0.01}"
none(best),0.2,0.3400,0.3400,50,0,{}
ema(best),0.2,0.5600,0.5600,50,0,{'alpha': 0.4}
median(best),0.2,0.4600,0.4600,50,0,{'k': 5}
kalman(best),0.2,0.5400,0.5400,50,0,"{'Q': 0.01, 'R': 0.1}"
none(best),0.3,0.0600,0.0600,50,0,{}
ema(best),0.3,0.3000,0.3000,50,0,{'alpha': 0.6}
median(best),0.3,0.1600,0.1600,50,0,{'k': 5}
kalman(best),0.3,0.2600,0.2600,50,0,"{'Q': 0.0001, 'R': 0.001}"
none(best),0.4,0.0400,0.0400,50,0,{}
ema(best),0.4,0.1200,0.1200,50,0,{'alpha': 0.4}
median(best),0.4,0.0600,0.0600,50,0,{'k': 3}
kalman(best),0.4,0.1200,0.1200,50,0,"{'Q': 0.0001, 'R': 0.01}"
none(best),0.5,0.0000,0.0000,50,0,{}
ema(best),0.5,0.0600,0.0600,50,0,{'alpha': 0.1}
median(best),0.5,0.0400,0.0400,50,0,{'k': 5}
kalman(best),0.5,0.0800,0.0800,50,0,"{'Q': 0.01, 'R': 0.1}"
none(best),0.6,0.0000,0.0000,50,0,{}
ema(best),0.6,0.0200,0.0200,50,0,{'alpha': 0.2}
median(best),0.6,0.0400,0.0400,50,0,{'k': 5}
kalman(best),0.6,0.0600,0.0600,50,0,"{'Q': 0.001, 'R': 0.01}"
