alpha_s,alpha_a,BASELINE (diffusion only),baseline_A0
0.000,0.000,1.0000,1.0000
0.000,0.050,1.0000,1.0000
0.000,0.100,1.0000,1.0000
0.000,0.200,0.0000,1.0000
0.010,0.000,1.0000,1.0000
0.010,0.050,1.0000,0.8000
0.010,0.100,0.6000,1.0000
0.010,0.200,0.0000,0.8000
0.020,0.000,0.0000,0.4000
0.020,0.050,0.4000,0.4000
0.020,0.100,0.4000,0.4000
0.020,0.200,0.2000,0.4000
0.030,0.000,0.0000,0.4000
0.030,0.050,0.4000,0.0000
0.030,0.100,0.4000,0.0000
0.030,0.200,0.0000,0.0000
0.040,0.000,0.0000,0.0000
0.040,0.050,0.2000,0.0000
0.040,0.100,0.0000,0.0000
0.040,0.200,0.0000,0.0000
0.050,0.000,0.0000,0.0000
0.050,0.050,0.0000,0.0000
0.050,0.100,0.0000,0.0000
0.050,0.200,0.0000,0.0000
