alpha_s,alpha_a,BASELINE (diffusion only),joint_cross_attn_a0_noaux,joint_cross_attn_a7_v3
0.000,0.000,1.0000,0.6600,0.7600
0.000,0.050,1.0000,0.5000,0.7400
0.000,0.100,0.9200,0.5200,0.7200
0.000,0.200,0.4800,0.4400,0.7200
0.010,0.000,0.8200,0.5400,0.5000
0.010,0.050,0.8000,0.5000,0.5200
0.010,0.100,0.6000,0.4400,0.5600
0.010,0.200,0.1600,0.3800,0.5000
0.020,0.000,0.5800,0.4200,0.2200
0.020,0.050,0.4200,0.3600,0.2000
0.020,0.100,0.2600,0.3800,0.1800
0.020,0.200,0.1200,0.4000,0.2200
0.030,0.000,0.1600,0.3400,0.1400
0.030,0.050,0.2800,0.3600,0.1400
0.030,0.100,0.1600,0.3800,0.1600
0.030,0.200,0.0200,0.3400,0.1000
0.040,0.000,0.2200,0.2200,0.1200
0.040,0.050,0.1800,0.3400,0.1200
0.040,0.100,0.1600,0.3400,0.1200
0.040,0.200,0.0400,0.2400,0.0600
0.050,0.000,0.1800,0.2600,0.1000
0.050,0.050,0.1200,0.2000,0.1000
0.050,0.100,0.1600,0.2200,0.1000
0.050,0.200,0.0200,0.2800,0.0800
