alpha_s,alpha_a,BASELINE (diffusion only),joint_cross_attn_a0_noaux,joint_cross_attn_a7_v3
0.000,0.000,1.0000,0.9200,0.9200
0.000,0.100,0.9200,0.8400,0.9200
0.000,0.200,0.4000,0.7600,0.9200
0.010,0.000,0.8800,0.7600,0.6400
0.010,0.100,0.5200,0.8000,0.8000
0.010,0.200,0.2400,0.7200,0.7600
0.040,0.000,0.2800,0.3200,0.1200
0.040,0.100,0.0800,0.4400,0.1200
0.040,0.200,0.0000,0.4400,0.1600
0.050,0.000,0.2000,0.3600,0.0400
0.050,0.100,0.1200,0.2800,0.0800
0.050,0.200,0.0400,0.3200,0.1200
