alpha_s,alpha_a,BASELINE (no denoiser),A0(t=10)
0.000,0.000,0.9800,1.0000
0.000,0.050,0.9600,0.9800
0.000,0.100,0.9200,0.9800
0.000,0.200,0.5800,0.9800
0.010,0.000,0.9600,0.9400
0.010,0.050,0.9600,0.9600
0.010,0.100,0.8400,0.9800
0.010,0.200,0.4800,0.9800
0.020,0.000,0.6000,0.7400
0.020,0.050,0.5200,0.7600
0.020,0.100,0.4800,0.8000
0.020,0.200,0.3000,0.7000
0.030,0.000,0.2200,0.5200
0.030,0.050,0.1600,0.2400
0.030,0.100,0.0400,0.3400
0.030,0.200,0.1200,0.4000
0.040,0.000,0.0000,0.2400
0.040,0.050,0.0600,0.1400
0.040,0.100,0.0200,0.1800
0.040,0.200,0.0400,0.3200
0.050,0.000,0.0000,0.2200
0.050,0.050,0.0000,0.0800
0.050,0.100,0.0000,0.1200
0.050,0.200,0.0200,0.0800
