method,alpha_s,alpha_a,success_rate,mean_reward,n_rollouts,latency_ms
BASE-clean,0.000,0.000,1.0000,1.0000,25,
BASE-noisy,0.010,0.050,0.9200,0.9200,25,
JOINT-A0,0.010,0.050,0.4000,0.4000,25,13.86
BASE-noisy,0.010,0.100,0.7200,0.7200,25,
JOINT-A0,0.010,0.100,0.4400,0.4400,25,14.04
BASE-noisy,0.010,0.200,0.4800,0.4800,25,
JOINT-A0,0.010,0.200,0.5200,0.5200,25,13.93
BASE-noisy,0.050,0.050,0.0000,0.0000,25,
JOINT-A0,0.050,0.050,0.0800,0.0800,25,13.80
BASE-noisy,0.050,0.100,0.0000,0.0000,25,
JOINT-A0,0.050,0.100,0.1200,0.1200,25,14.21
BASE-noisy,0.050,0.200,0.0800,0.0800,25,
JOINT-A0,0.050,0.200,0.0800,0.0800,25,14.08
