method,alpha_s,alpha_a,success_rate,mean_reward,n_rollouts,latency_ms
BASE-clean,0.000,0.000,1.0000,1.0000,25,
BASE-noisy,0.010,0.050,0.9200,0.9200,25,
JOINT-A3,0.010,0.050,0.8000,0.8000,25,14.15
BASE-noisy,0.010,0.100,0.7200,0.7200,25,
JOINT-A3,0.010,0.100,0.8800,0.8800,25,13.87
BASE-noisy,0.010,0.200,0.4800,0.4800,25,
JOINT-A3,0.010,0.200,0.8400,0.8400,25,14.19
BASE-noisy,0.050,0.050,0.0000,0.0000,25,
JOINT-A3,0.050,0.050,0.2000,0.2000,25,13.99
BASE-noisy,0.050,0.100,0.0000,0.0000,25,
JOINT-A3,0.050,0.100,0.1200,0.1200,25,13.84
BASE-noisy,0.050,0.200,0.0800,0.0800,25,
JOINT-A3,0.050,0.200,0.0400,0.0400,25,13.89
