method,alpha_s,alpha_a,success_rate,mean_reward,n_rollouts,latency_ms
BASE-clean,0.000,0.000,1.0000,1.0000,25,
BASE-noisy,0.010,0.050,0.9200,0.9200,25,
JOINT-A3,0.010,0.050,0.9600,0.9600,25,14.47
BASE-noisy,0.010,0.100,0.7200,0.7200,25,
JOINT-A3,0.010,0.100,0.9600,0.9600,25,14.33
BASE-noisy,0.010,0.200,0.4800,0.4800,25,
JOINT-A3,0.010,0.200,1.0000,1.0000,25,14.40
BASE-noisy,0.050,0.050,0.0000,0.0000,25,
JOINT-A3,0.050,0.050,0.1200,0.1200,25,14.38
BASE-noisy,0.050,0.100,0.0000,0.0000,25,
JOINT-A3,0.050,0.100,0.1600,0.1600,25,14.33
BASE-noisy,0.050,0.200,0.0800,0.0800,25,
JOINT-A3,0.050,0.200,0.2000,0.2000,25,14.09
