alpha_s,alpha_a,BASELINE (diffusion only),joint_lam01_a0,joint_lam01_a7
0.000,0.000,0.4000,0.0000,0.1200
0.000,0.050,0.4400,0.0400,0.1200
0.000,0.100,0.2400,0.0000,0.0400
0.000,0.200,0.1200,0.0000,0.0400
0.010,0.000,0.2400,0.0400,0.1600
0.010,0.050,0.2000,0.0400,0.0800
0.010,0.100,0.1200,0.0000,0.0800
0.010,0.200,0.0800,0.0000,0.0400
0.020,0.000,0.0400,0.0000,0.0400
0.020,0.050,0.0400,0.0000,0.0000
0.020,0.100,0.0800,0.0000,0.0800
0.020,0.200,0.0000,0.0000,0.0000
0.030,0.000,0.0000,0.0000,0.0000
0.030,0.050,0.0000,0.0000,0.0000
0.030,0.100,0.0400,0.0400,0.0400
0.030,0.200,0.0000,0.0000,0.0400
